phyto_name,match.name,genus,species,MFG,MFG2,mld,source
Bicosoeca tubiformis,Bicosoeca tubiformis,Bicosoeca,tubiformis,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosta minor,Bicosta minor,Bicosta,minor,NA,NA,,
Biecheleria pseudopalustris,Biecheleria pseudopalustris,Biecheleria,pseudopalustris,NA,NA,,
Binuclearia lauterbornii,Binuclearia lauterbornii,Binuclearia,lauterbornii,NA,NA,,
Chaetoceros,Chaetoceros,Chaetoceros,,NA,NA,,
Chlamydocapsa,Chlamydocapsa,Chlamydocapsa,,11b-GelaChlor,11b-GelaChlor,2.7,morabito et al. 2010
Chlamydocapsa planctonica,Chlamydocapsa planctonica,Chlamydocapsa,planctonica,11b-GelaChlor,11b-GelaChlor,2.7,morabito et al. 2010
Chlamydomonadaceae,NA,,,NA,NA,,
Chlorella or,Chlorella,Chlorella,,9b-SmallChlor,9b-SmallChlor,1.8,morabito et al. 2010
Chloroidium ellipsoideum,Chloroidium ellipsoideum,Chloroidium,ellipsoideum,NA,NA,,
Chlorophyceae,NA,,,NA,NA,,
Chlorophyceae colonial,NA,,,NA,NA,,
Chlorophyceae flagellated zoospore,NA,,,NA,NA,,
Chlorophyceae intermediate,NA,,,NA,NA,,
Chlorophyceae unicellular,NA,,,NA,NA,,
Chlorophyceae unidentified,NA,,,NA,NA,,
