genus,species,MFG,genspp,source
Peridinium,volzii,1b-LargeDino,Peridinium volzii,Salmaso Geisha Powell Center Workshop
Peridinium,aciculiferum,2b-SmallDino,Peridinium aciculiferum,Salmaso & Padisak 2007
Peridinium,inconspicuum,2b-SmallDino,Peridinium inconspicuum,Salmaso & Padisak 2007
Peridinium,umbonatum,1b-LargeDino,Peridinium umbonatum,Salmaso & Padisak 2007
Phacotus,lenticularis,3a-UnicPhyto,Phacotus lenticularis,Salmaso & Padisak 2007
Phacus,longicauda,1c-LargeEugl,Phacus longicauda,Salmaso Geisha Powell Center Workshop
Phacus,,1c-LargeEugl,Phacus,Salmaso Geisha Powell Center Workshop
Phaeocystis,,1a-LargeChry,Phaeocystis,Algaebase
Phormidium,,5a-FilaCyano,Phormidium,Salmaso & Padisak 2007
Pinnularia,,6b2-LUniPenn,Pinnularia,Salmaso Geisha Powell Center Workshop
Placoneis,clementis,7b-SmallPenn,Placoneis clementis,Western Diatoms of North America
Plagioselmis,nannoplanctica,2d-Crypto,Plagioselmis nannoplanctica,Salmaso & Padisak 2007
Planctonema,lauterbornii,10a-FilaChlorp,Planctonema lauterbornii,Salmaso & Padisak 2007
Planktolyngbya,,5a-FilaCyano,Planktolyngbya,Salmaso Geisha Powell Center Workshop
Planktolyngbya,limnetica,5a-FilaCyano,Planktolyngbya limnetica,Salmaso & Padisak 2007
Planktosphaeria,gelatinosa,11b-GelaChlor,Planktosphaeria gelatinosa,Salmaso & Padisak 2007
Planktothrix,,5a-FilaCyano,Planktothrix,Salmaso Geisha Powell Center Workshop
Planktothrix,rubescens/ag.,5a-FilaCyano,Planktothrix rubescens/ag.,Salmaso & Padisak 2007
Planktothrix,agardhii,5a-FilaCyano,Planktothrix agardhii,Salmaso & Padisak 2007
Planktothrix,rubescens,5a-FilaCyano,Planktothrix rubescens,Salmaso & Padisak 2007
Planothidium,calcar,7b-SmallPenn,Planothidium calcar,Western Diatoms of North America
Planothidium,lanceolatum,7b-SmallPenn,Planothidium lanceolatum,Western Diatoms of North America
Pleodorina,,3b-ColoPhyto,Pleodorina,Tolotti et al. 2010
Pleodorina,californica,3b-ColoPhyto,Pleodorina californica,Tolotti et al. 2010
Pleurotaenium,trabecula,8a-LargeCoCh,Pleurotaenium trabecula,Algaebase
Polyblepharides,singularis,3a-UnicPhyto,Polyblepharides singularis,Salmaso Geisha Powell Center Workshop
Polyedriopsis,bitridens,9b-SmallChlor,Polyedriopsis bitridens,Salmaso Geisha Powell Center Workshop
Polyedriopsis,spinulosa,9b-SmallChlor,Polyedriopsis spinulosa,Salmaso Geisha Powell Center Workshop
Prymnesium,laurentianum,2a-SmallChry1,Prymnesium laurentianum,Tolotti et al. 2010
Pseudanabaena,limnetica,5a-FilaCyano,Pseudanabaena limnetica,Salmaso Geisha Powell Center Workshop
Pseudanabaena,,5a-FilaCyano,Pseudanabaena,Salmaso Geisha Powell Center Workshop
Pseudoanabaena,catenata,5a-FilaCyano,Pseudoanabaena catenata,Tolotti et al. 2010
Pseudocarteria,,3a-UnicPhyto,Pseudocarteria,Salmaso Geisha Powell Center Workshop
Pseudochlorella,pyrenoidosa,9d-SmallUnic,Pseudochlorella pyrenoidosa,Algaebase
Pseudococcomyxa,,9b-SmallChlor,Pseudococcomyxa,Algaebase
Pseudodidymocystis,fina,1a-LargeChry,Pseudodidymocystis fina,Algaebase
Pseudodidymocystis,planctonica,1a-LargeChry,Pseudodidymocystis planctonica,Algaebase
Pseudokephyrion,,2a-SmallChry1,Pseudokephyrion,Salmaso Geisha Powell Center Workshop
Pseudonitzschia,,7b-SmallPenn,Pseudonitzschia,Li et al. 2018
Pseudopediastrum,boryanum,11a-NakeChlor,Pseudopediastrum boryanum,Li et al. 2018
Pseudopedinella,,1c-LargeEugl,Pseudopedinella,Algaebase
Pseudoquadrigula,,11b-GelaChlor,Pseudoquadrigula,Salmaso & Padisak 2007
Pseudoschroederia,antillarum,8a-LargeCoCh,Pseudoschroederia antillarum,Algaebase
Pseudoschroederia,robusta,8a-LargeCoCh,Pseudoschroederia robusta,Algaebase
Pseudosphaerocystis,lacustris,11b-GelaChlor,Pseudosphaerocystis lacustris,Salmaso & Padisak 2007
Pseudostaurastrum,,9d-SmallUnic,Pseudostaurastrum,Salmaso Geisha Powell Center Workshop
Pseudostaurosira,parasitica,6b1-LColPenn,Pseudostaurosira parasitica,Western Diatoms of North America
Pseudostaurosira,robusta,6b1-LColPenn,Pseudostaurosira robusta,Western Diatoms of North America
Pseudotetradesmus,quaternarius,11a-NakeChlor,Pseudotetradesmus quaternarius,Salmaso Geisha Powell Center Workshop
Pseudotetraedriella,kamillae,9d-SmallUnic,Pseudotetraedriella kamillae,Salmaso & Padisak 2007
Pseudotetrastrum,punctatum,1a-LargeChry,Pseudotetrastrum punctatum,Algaebase
Pteridomonas,,2a-SmallChry1,Pteridomonas,Algaebase
Pyramichlamys,,3a-UnicPhyto,Pyramichlamys,Algaebase
Pyramichlamys,dissecta,3a-UnicPhyto,Pyramichlamys dissecta,Algaebase
Pyramimonas,,3a-UnicPhyto,Pyramimonas,Salmaso Geisha Powell Center Workshop
Quadrichloris,carterioides,3a-UnicPhyto,Quadrichloris carterioides,Algaebase; Fott 1960
Quadricoccus,ellipticus,11a-NakeChlor,Quadricoccus ellipticus,Salmaso Geisha Powell Center Workshop
Quadricoccus,,11b-GelaChlor,Quadricoccus,Salmaso Geisha Powell Center Workshop
Quadrigula,,11b-GelaChlor,Quadrigula,Salmaso Geisha Powell Center Workshop
Quadrigula,pfitzeri,11b-GelaChlor,Quadrigula pfitzeri,Salmaso & Padisak 2007
Quadrigula,chodatii,11b-GelaChlor,Quadrigula chodatii,Li et al. 2018
Radiococcaceae,,11b-GelaChlor,Radiococcaceae,Tolotti et al. 2010
Radiococcaceae,undet.,11b-GelaChlor,Radiococcaceae undet.,Tolotti et al. 2010
Radiococcus,planktonicus,11a-NakeChlor,Radiococcus planktonicus,Algaebase
Radiocystis,geminata,5c-OtherChroo,Radiocystis geminata,Salmaso & Padisak 2007
Raphidiopsis,,5e-Nostocales,Raphidiopsis,Salmaso Geisha Powell Center Workshop
Raphidocelis,,11b-GelaChlor,Raphidocelis,Salmaso Geisha Powell Center Workshop
Raphidocelis,danubiana,11b-GelaChlor,Raphidocelis danubiana,Li et al. 2018
Rayssiella,hemisphaerica,11a-NakeChlor,Rayssiella hemisphaerica,Algaebase; Edelstein & Prescott 1964
Reimeria,sinuata,7b-SmallPenn,Reimeria sinuata,Western Diatoms of North America
Rhabdoderma,lineare,5c-OtherChroo,Rhabdoderma lineare,Salmaso Geisha Powell Center Workshop
Rhabdoderma,tenuissimum,5c-OtherChroo,Rhabdoderma tenuissimum,Salmaso Geisha Powell Center Workshop
Rhabdoderma,,5c-OtherChroo,Rhabdoderma,Salmaso Geisha Powell Center Workshop
Rhabdoglea,,5d-SmallChroo,Rhabdoglea,Li et al. 2018
Rhabdogloea,,5c-OtherChroo,Rhabdogloea,Salmaso Geisha Powell Center Workshop
Rhabdogloea,scenedesmoides,5c-OtherChroo,Rhabdogloea scenedesmoides,Salmaso & Padisak 2007
Rhabdogloea,scenesesmoides,5d-SmallChroo,Rhabdogloea scenesesmoides,Salmaso & Padisak 2007
Rhizochrysis,scherffelii,2a-SmallChry1,Rhizochrysis scherffelii,Salmaso & Padisak 2007
Rhizosolenia,longiseta,6a2-LUniCent,Rhizosolenia longiseta,Western Diatoms of North America
Rhodomonas,minuta,2d-Crypto,Rhodomonas minuta,Salmaso & Padisak 2007
Rhodomonas,lacustris,2d-Crypto,Rhodomonas lacustris,Salmaso & Padisak 2007
Rhodomonas,lens,2d-Crypto,Rhodomonas lens,Salmaso & Padisak 2007
Rhodomonas,,2d-Crypto,Rhodomonas,Tolotti et al. 2010
Rhoicosphenia,abbreviata,7b-SmallPenn,Rhoicosphenia abbreviata,Western Diatoms of North America
Rhopalodia,gibba,6b2-LUniPenn,Rhopalodia gibba,Salmaso Geisha Powell Center Workshop
Rivularia,,5e-Nostocales,Rivularia,Algaebase
Romeria,chlorina,5c-OtherChroo,Romeria chlorina,Salmaso Geisha Powell Center Workshop
Romeria,gracilis,5c-OtherChroo,Romeria gracilis,Salmaso Geisha Powell Center Workshop
Romeria,,5d-SmallChroo,Romeria,Salmaso Geisha Powell Center Workshop
Rosse,capsioa bianca,9b-SmallChlor,Rosse capsioa bianca,Tolotti et al. 2010
S.,alpinus,7a-SmallCent,S. alpinus,Salmaso & Padisak 2007
S.,minutulus,7a-SmallCent,S. minutulus,Salmaso & Padisak 2007
S.,neoastraea,6a1-LColCent,S. neoastraea,Salmaso & Padisak 2007
Scendesmus,armatus,11a-NakeChlor,Scendesmus armatus,Tolotti et al. 2010
Scendesmus,acutus,11a-NakeChlor,Scendesmus acutus,Tolotti et al. 2010
Scenedesmus,acutus,11a-NakeChlor,Scenedesmus acutus,Salmaso Geisha Powell Center Workshop
Scenedesmus,bijuga,11a-NakeChlor,Scenedesmus bijuga,Salmaso Geisha Powell Center Workshop
Scenedesmus,dimorphus,11a-NakeChlor,Scenedesmus dimorphus,Salmaso Geisha Powell Center Workshop
Scenedesmus,linearis,11a-NakeChlor,Scenedesmus linearis,Salmaso Geisha Powell Center Workshop
Scenedesmus,,11a-NakeChlor,Scenedesmus,Salmaso Geisha Powell Center Workshop
Scenedesmus,armatus,11a-NakeChlor,Scenedesmus armatus,Salmaso & Padisak 2007
Scenedesmus,communis,11a-NakeChlor,Scenedesmus communis,Salmaso & Padisak 2007
Scenedesmus,costatogranulatus,11a-NakeChlor,Scenedesmus costatogranulatus,Salmaso & Padisak 2007
Scenedesmus,ellipticus,11a-NakeChlor,Scenedesmus ellipticus,Salmaso & Padisak 2007
Scenedesmus,arcuatus,11a-NakeChlor,Scenedesmus arcuatus,Li et al. 2018
Scenedesmus,obliquus,11a-NakeChlor,Scenedesmus obliquus,Li et al. 2018
Scenedesmus,platydiscus,11a-NakeChlor,Scenedesmus platydiscus,Li et al. 2018
Scenedesmus,quadricauda,11a-NakeChlor,Scenedesmus quadricauda,Li et al. 2018
Scenedesmus,spinosus,11a-NakeChlor,Scenedesmus spinosus,Li et al. 2018
Scenedesmus,brasiliensis,11a-NakeChlor,Scenedesmus brasiliensis,Tolotti et al. 2010
Scherffelia,,3a-UnicPhyto,Scherffelia,Algaebase
Schroederia,setigera,8a-LargeCoCh,Schroederia setigera,Salmaso Geisha Powell Center Workshop
Schroederia,,9b-SmallChlor,Schroederia,Salmaso Geisha Powell Center Workshop
Schroederia,robusta,9b-SmallChlor,Schroederia robusta,Salmaso & Padisak 2007
Scourfieldia,,3a-UnicPhyto,Scourfieldia,Algaebase
Scourfieldia,cordiformis,3a-UnicPhyto,Scourfieldia cordiformis,Algaebase
Scytonema,,5e-Nostocales,Scytonema,Algaebase
Selenastrum,,11a-NakeChlor,Selenastrum,Salmaso & Padisak 2007
Selenochloris,quadriloba,3a-UnicPhyto,Selenochloris quadriloba,Algaebase
Selenstraceae,,11a-NakeChlor,Selenstraceae,Salmaso & Padisak 2007
Sellaphora,bacillum,7b-SmallPenn,Sellaphora bacillum,Western Diatoms of North America
Sellaphora,pupula,7b-SmallPenn,Sellaphora pupula,Western Diatoms of North America
Sellaphora,rostrata,7b-SmallPenn,Sellaphora rostrata,Western Diatoms of North America
Siderocelis,minor,11a-NakeChlor,Siderocelis minor,Tsarenko 2011
Siderocelis,oblonga,11a-NakeChlor,Siderocelis oblonga,Tsarenko 2011
Siderocelis,ornata,11a-NakeChlor,Siderocelis ornata,Tsarenko 2011
Siderocelis,,11a-NakeChlor,Siderocelis,Tsarenko 2011
Skeletonema,potamos,6a1-LColCent,Skeletonema potamos,Salmaso Geisha Powell Center Workshop
small,chrysoflagellates,2a-SmallChry1,small chrysoflagellates,Salmaso & Padisak 2007
Snowella,,5c-OtherChroo,Snowella,Salmaso Geisha Powell Center Workshop
Snowella,arachnoidea,5c-OtherChroo,Snowella arachnoidea,Salmaso & Padisak 2007
Sorastrum,,1a-LargeChry,Sorastrum,Algaebase
Sorastrum,americanum,1a-LargeChry,Sorastrum americanum,Algaebase
Sorastrum,spinulosum,1a-LargeChry,Sorastrum spinulosum,Algaebase
Spermatozopsis,exsultans,3a-UnicPhyto,Spermatozopsis exsultans,Algaebase
Sphaerellocystis,ampla,3a-UnicPhyto,Sphaerellocystis ampla,Algaebase
Sphaerellopsis,,3a-UnicPhyto,Sphaerellopsis,Tolotti et al. 2010
Sphaerocystis,,11b-GelaChlor,Sphaerocystis,Salmaso & Padisak 2007
Sphaerocystis,planctonica,11b-GelaChlor,Sphaerocystis planctonica,Salmaso & Padisak 2007
Sphaeroeca,volvox,1a-LargeChry,Sphaeroeca volvox,Algaebase
Sphaerospermopsis,,5e-Nostocales,Sphaerospermopsis,Algaebase
Sphaerospermopsis,aphanizomenoides,5e-Nostocales,Sphaerospermopsis aphanizomenoides,Algaebase
Sphaerozosma,laeve,10b-FilaConj,Sphaerozosma laeve,Algaebase
Spiniferodinium,palustre,2b-SmallDino,Spiniferodinium palustre,Algaebase
Spinoferomonas,,2a-SmallChry1,Spinoferomonas,Salmaso & Padisak 2007
Spirogyra,,10b-FilaConj,Spirogyra,Salmaso & Padisak 2007
Spirulina,,5a-FilaCyano,Spirulina,Algaebase
Spirulina,laxa,5a-FilaCyano,Spirulina laxa,Algaebase
Spondylosium,planum,10b-FilaConj,Spondylosium planum,Salmaso Geisha Powell Center Workshop
Spondylosium,,10b-FilaConj,Spondylosium,Salmaso Geisha Powell Center Workshop
Spyrogira,,10b-FilaConj,Spyrogira,Tolotti et al. 2010
Staurastrum,gracile,8a-LargeCoCh,Staurastrum gracile,Salmaso Geisha Powell Center Workshop
Staurastrum,natator,8a-LargeCoCh,Staurastrum natator,Salmaso Geisha Powell Center Workshop
Staurastrum,,8a-LargeCoCh,Staurastrum,Salmaso Geisha Powell Center Workshop
Staurastrum,pingue,8a-LargeCoCh,Staurastrum pingue,Salmaso & Padisak 2007
Staurastrum,planctonicum,8a-LargeCoCh,Staurastrum planctonicum,Salmaso & Padisak 2007
Staurastrum,punctulatum,8a-LargeCoCh,Staurastrum punctulatum,Salmaso & Padisak 2007
Staurastrum,planktonicum,8a-LargeCoCh,Staurastrum planktonicum,Salmaso & Padisak 2007
Stauridium,tetras,11a-NakeChlor,Stauridium tetras,Li et al. 2018
Staurodesmus,cuspidatus,8a-LargeCoCh,Staurodesmus cuspidatus,Salmaso & Padisak 2007
Staurodesmus,incus,8a-LargeCoCh,Staurodesmus incus,Salmaso & Padisak 2007
Stauroneis,,7b-SmallPenn,Stauroneis,Li et al. 2018
Staurophora,,6b2-LUniPenn,Staurophora,Western Diatoms of North America; size range 40-67 um.non-centric.solitary.Bacillariophyceae.Cymbellales.
Staurosira,brevistriata,6b1-LColPenn,Staurosira brevistriata,Western Diatoms of North America
Staurosira,construens,6b1-LColPenn,Staurosira construens,Western Diatoms of North America
Staurosira,leptostauron,6b1-LColPenn,Staurosira leptostauron,Western Diatoms of North America
Staurosira,mutabilis,6b1-LColPenn,Staurosira mutabilis,Western Diatoms of North America
Staurosira,pinnata,6b1-LColPenn,Staurosira pinnata,Western Diatoms of North America
Staurosirella,pinnata,6b1-LColPenn,Staurosirella pinnata,Western Diatoms of North America
Stelexomonas,dichotoma,2a-SmallChry1,Stelexomonas dichotoma,Salmaso & Padisak 2007
Stenokalyx,spirale,2a-SmallChry1,Stenokalyx spirale,Meyer et al. 1971
Stenopterobia,pelagica,6b1-LColPenn,Stenopterobia pelagica,Salmaso & Padisak 2007
Stephanocostis,chantaicus,7a-SmallCent,Stephanocostis chantaicus,Salmaso & Padisak 2007
Stephanod.,dubius,7a-SmallCent,Stephanod. dubius,Salmaso & Padisak 2007
Stephanod.,minutulus,7a-SmallCent,Stephanod. minutulus,Salmaso & Padisak 2007
Stephanod.,neoastraea-,6a1-LColCent,Stephanod. neoastraea-,Salmaso & Padisak 2007
Stephanod.,neoastraea-Gr.,6a1-LColCent,Stephanod. neoastraea-Gr.,Salmaso & Padisak 2007
Stephanodiscus,neoastraea,6a2-LUniCent,Stephanodiscus neoastraea,Western Diatoms of North America
Stephanodiscus,,6a2-LUniCent,Stephanodiscus,Western Diatoms of North America
Stephanodiscus,chantaicus,7a-SmallCent,Stephanodiscus chantaicus,Western Diatoms of North America
Stephanodiscus,dubius,7a-SmallCent,Stephanodiscus dubius,Western Diatoms of North America
Stephanodiscus,minutulus,7a-SmallCent,Stephanodiscus minutulus,Western Diatoms of North America
Stephanodiscus,alpinus,7a-SmallCent,Stephanodiscus alpinus,Salmaso & Padisak 2007
Stephanodiscus,hantzschii,7a-SmallCent,Stephanodiscus hantzschii,Salmaso & Padisak 2007
Stephanodiscus,hantschii,6a1-LColCent,Stephanodiscus hantschii,Tolotti et al. 2010
Stichococcus,contortus,9d-SmallUnic,Stichococcus contortus,Salmaso & Padisak 2007
Stichogloea,dorderleinii,1c-LargeEugl,Stichogloea dorderleinii,Salmaso & Padisak 2007
Stigeoclonium,,10a-FilaChlorp,Stigeoclonium,Algaebase
Stigeoclonium,tenue,10a-FilaChlorp,Stigeoclonium tenue,Algaebase
Stigonema,ocellatum,5e-Nostocales,Stigonema ocellatum,CyanoDB 2
Stokesiella,epipyxis,2a-SmallChry1,Stokesiella epipyxis,Algaebase
Strombomonas,,1c-LargeEugl,Strombomonas,Salmaso Geisha Powell Center Workshop
Stylosphaeridium,stipitatum,3a-UnicPhyto,Stylosphaeridium stipitatum,Algaebase
Surirella,,6b2-LUniPenn,Surirella,Salmaso Geisha Powell Center Workshop
Suxenella,mitrae,11a-NakeChlor,Suxenella mitrae,Salmaso Geisha Powell Center Workshop
Syncrypta,,1a-LargeChry,Syncrypta,Algaebase
Synechococcus,,4-UnicCyano,Synechococcus,Salmaso Geisha Powell Center Workshop
Synechocystis,aquatilis,4-UnicCyano,Synechocystis aquatilis,Li et al. 2018
Synecoccus,,4-UnicCyano,Synecoccus,Tolotti et al. 2010
Synedra,,6b2-LUniPenn,Synedra,Salmaso & Padisak 2007
Synedra,acus,6b1-LColPenn,Synedra acus,Salmaso & Padisak 2007
Synedra,acus radinas+angustissima,7b-SmallPenn,Synedra acus radinas+angustissima,Salmaso & Padisak 2007
Synedra,ulna,6b1-LColPenn,Synedra ulna,Salmaso & Padisak 2007
Synedra,japonica =Ulnaria,6b2-LUniPenn,Synedra japonica =Ulnaria,Salmaso Geisha Powell Center Workshop
Synura,,1a-LargeChry,Synura,Salmaso Geisha Powell Center Workshop
Synuropsis,,1a-LargeChry,Synuropsis,Algaebase
Tabellaria,,6b1-LColPenn,Tabellaria,Salmaso & Padisak 2007
Tabellaria,fenestrata,6b1-LColPenn,Tabellaria fenestrata,Salmaso & Padisak 2007
Tabellaria,flocculosa,6b1-LColPenn,Tabellaria flocculosa,Salmaso & Padisak 2007
Teilingia,excavata,10b-FilaConj,Teilingia excavata,Algaebase
Tetrabaena,socialis,3b-ColoPhyto,Tetrabaena socialis,Rimet et al. 2018
Tetrachlorella,alternans,11b-GelaChlor,Tetrachlorella alternans,Salmaso & Padisak 2007
Tetracystis,pulchra,9b-SmallChlor,Tetracystis pulchra,Phycokey
Tetradesmus,,11a-NakeChlor,Tetradesmus,Salmaso Geisha Powell Center Workshop
Tetraedriella,,9b-SmallChlor,Tetraedriella,Salmaso Geisha Powell Center Workshop
Tetraedron,bifurcatum,9b-SmallChlor,Tetraedron bifurcatum,Salmaso Geisha Powell Center Workshop
Tetraedron,,9b-SmallChlor,Tetraedron,Salmaso Geisha Powell Center Workshop
Tetraedron,caudatum,9b-SmallChlor,Tetraedron caudatum,Salmaso & Padisak 2007
Tetraedron,minimum,9b-SmallChlor,Tetraedron minimum,Salmaso & Padisak 2007
Tetraedron,trigonum,9b-SmallChlor,Tetraedron trigonum,Li et al. 2018
Tetraplektron,,9d-SmallUnic,Tetraplektron,Salmaso Geisha Powell Center Workshop
Tetraselmis,cordiformis,3a-UnicPhyto,Tetraselmis cordiformis,Salmaso Geisha Powell Center Workshop
Tetraspora,,11b-GelaChlor,Tetraspora,Salmaso Geisha Powell Center Workshop
Tetrasporales/Chloroc.,,11b-GelaChlor,Tetrasporales/Chloroc.,Salmaso & Padisak 2007
Tetrastrum,hastiferum,9b-SmallChlor,Tetrastrum hastiferum,Algaebase
Tetrastrum,heteracanthum,9b-SmallChlor,Tetrastrum heteracanthum,Algaebase
Tetrastrum,,11a-NakeChlor,Tetrastrum,Salmaso Geisha Powell Center Workshop
Tetrastrum,glabrum,11a-NakeChlor,Tetrastrum glabrum,Salmaso & Padisak 2007
Tetrastrum,staurogeniaeforme,11a-NakeChlor,Tetrastrum staurogeniaeforme,Li et al. 2018
Thalassiosira,pseudonana,7a-SmallCent,Thalassiosira pseudonana,Salmaso Geisha Powell Center Workshop
Thalassiosira,,7a-SmallCent,Thalassiosira,Salmaso Geisha Powell Center Workshop
Thalassiosiraceae,,7a-SmallCent,Thalassiosiraceae,Salmaso Geisha Powell Center Workshop
Thorakochloris,nygaardii,11a-NakeChlor,Thorakochloris nygaardii,Algaebase
Thorakochloris,tetras,11a-NakeChlor,Thorakochloris tetras,Algaebase
Tolypothrix,,5e-Nostocales,Tolypothrix,Algaebase
Trachelomonas,granulosa,1c-LargeEugl,Trachelomonas granulosa,Salmaso Geisha Powell Center Workshop
Trachelomonas,,2c-SmallEugl,Trachelomonas,Salmaso Geisha Powell Center Workshop
Trachidiscus,sexangulatus,9d-SmallUnic,Trachidiscus sexangulatus,Salmaso & Padisak 2007
Trachydiscus,sexangulatus,9d-SmallUnic,Trachydiscus sexangulatus,Algaebase
Traubaria,,8a-LargeCoCh,Traubaria,Salmaso Geisha Powell Center Workshop
Treubaria,crassispina,9b-SmallChlor,Treubaria crassispina,Algaebase
Tribonema,,10c-FilaXant,Tribonema,Salmaso & Padisak 2007
Trichormus,,5e-Nostocales,Trichormus,Algaebase
Trigonium,,7a-SmallCent,Trigonium,Phycokey
Triploceras,,10b-FilaConj,Triploceras,Phycokey
Trochiscia,aciculifera,11a-NakeChlor,Trochiscia aciculifera,Algaebase
Trochiscia,granulata,11a-NakeChlor,Trochiscia granulata,Algaebase
Trochiscia,planctonica,11a-NakeChlor,Trochiscia planctonica,Algaebase
Trochiscia,,11a-NakeChlor,Trochiscia,Algaebase
Tryblionella,,6b2-LUniPenn,Tryblionella,Rimet et al. 2018
Tryblionella,angustulata,7b-SmallPenn,Tryblionella angustulata,Rimet et al. 2018
Tryblionella,levidensis,6b2-LUniPenn,Tryblionella levidensis,Rimet et al. 2018
Tychonema,,5a-FilaCyano,Tychonema,CyanoDB 2
Ulnaria,japonica,6b2-LUniPenn,Ulnaria japonica,Salmaso Geisha Powell Center Workshop
Ulnaria,ulna,6b2-LUniPenn,Ulnaria ulna,Li et al. 2018
Ulothrix,,10a-FilaChlorp,Ulothrix,Salmaso & Padisak 2007
unicellular,Mougeotia,9a-SmallConj,unicellular Mougeotia,Salmaso & Padisak 2007
Unicellular,Ulotrichales,9d-SmallUnic,Unicellular Ulotrichales,Salmaso & Padisak 2007
Unidentified,filamentous cyanobacteria,5a-FilaCyano,Unidentified filamentous cyanobacteria,description
Unidentified,cyanophytes,5d-SmallChroo,Unidentified cyanophytes,description
Uroglena,,1a-LargeChry,Uroglena,Salmaso & Padisak 2007
Uroglena,americana,1a-LargeChry,Uroglena americana,Salmaso & Padisak 2007
Uroglenopsis,americana,1a-LargeChry,Uroglenopsis americana,Rimet et al. 2018
Urosolenia,,6a2-LUniCent,Urosolenia,Salmaso Geisha Powell Center Workshop
Urosolenia,longiseta,6a2-LUniCent,Urosolenia longiseta,Salmaso Geisha Powell Center Workshop
Vacuolaria,,1a-LargeChry,Vacuolaria,Salmaso Geisha Powell Center Workshop
Vaucheria,,10c-FilaXant,Vaucheria,Algaebase
Volvocales,incapsulate,3b-ColoPhyto,Volvocales incapsulate,Tolotti et al. 2010
Westella,,11b-GelaChlor,Westella,Salmaso Geisha Powell Center Workshop
Westella,botryoides,11a-NakeChlor,Westella botryoides,Salmaso Geisha Powell Center Workshop
Willea,vilhelmii,11b-GelaChlor,Willea vilhelmii,Salmaso & Padisak 2007
Willea,apiculata,11b-GelaChlor,Willea apiculata,Li et al. 2018
Woloszynskia,,2b-SmallDino,Woloszynskia,Salmaso & Padisak 2007
Woronichinia,fusca,5c-OtherChroo,Woronichinia fusca,Salmaso Geisha Powell Center Workshop
Woronichinia,naegeliana cellulaire,5c-OtherChroo,Woronichinia naegeliana cellulaire,Salmaso Geisha Powell Center Workshop
Woronichinia,ruzickae,5c-OtherChroo,Woronichinia ruzickae,Salmaso Geisha Powell Center Workshop
Woronichinia,,5c-OtherChroo,Woronichinia,Salmaso Geisha Powell Center Workshop
Xanth.,,1c-LargeEugl,Xanth.,Salmaso & Padisak 2007
Xanthidium,,8a-LargeCoCh,Xanthidium,Algaebase
Xanthophyceae,,10c-FilaXant,Xanthophyceae,description
Zygnema,,10b-FilaConj,Zygnema,Algaebase
Zygogonium,,10b-FilaConj,Zygogonium,Algaebase
Nodularia,,5e-Nostocales,Nodularia,Algaebase; Komarek et al. 2014
Hormogonales,,5e-Nostocales,,Algaebase
