Taxa.name,genus,species,Mobility.apparatus,size,Colonial,Filament,centric,Gelatinous,aerotopes,Class,Order,MFG.fromtraits
Chlorella +,Chlorella,+,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chlorella ellipsoidea,Chlorella,ellipsoidea,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chlorella vulgaris,Chlorella,vulgaris,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chlorellaceae,Chlorellaceae,,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chlorelloidea,Chlorelloidea,,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chlorhormidium,Chlorhormidium,,0,large,1,1,0,1,0,Ulvophyceae,Ulotrichales,10a-FilaChlorp
Chlorhormidium subtile,Chlorhormidium,subtile,0,large,1,1,0,1,0,Ulvophyceae,Ulotrichales,10a-FilaChlorp
Chlorococcales,Chlorococcales,,0,small,1,0,0,NA,NA,Cyanophyceae,Chroococcales,5d-SmallChroo
Chlorolobion saxatile,Chlorolobion,saxatile,0,small,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Chlorophyceae indetermined big,Chlorophyceae,indetermined big,0,large,0,0,0,NA,NA,Chlorophyceae,,8a-LargeCoCh
Chlorophyceae indetermined small,Chlorophyceae,indetermined small,0,small,0,0,0,NA,NA,Chlorophyceae,,9d-SmallUnic
Chlorophyceae small,Chlorophyceae,small,0,small,0,0,0,NA,NA,Chlorophyceae,,9d-SmallUnic
Chlorophyceae,Chlorophyceae,,0,small,0,0,0,NA,NA,Chlorophyceae,,9d-SmallUnic
Choricystis chodatii,Choricystis,chodatii,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Choricystis minor,Choricystis,minor,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Chromulina erkensis,Chromulina,erkensis,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrooccocus distans,Chrooccocus,distans,0,small,1,0,0,NA,NA,Cyanophyceae,Chroococcales,5d-SmallChroo
