MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
6b2,Fragilaria ulna danica - Sippen,Ulnaria danica,FALSE,,Ulnaria,danica,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Amphora sp.,Amphora,FALSE,,Amphora,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Navicula radiosa,Navicula radiosa,TRUE,,Navicula,radiosa,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Synedra sp,Synedra,FALSE,,Synedra,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Surirella robusta,Surirella robusta,TRUE,,Surirella,robusta,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
7a,Cyclotella stelligera,Discostella stelligera,FALSE,,Discostella,stelligera,7a-SmallCent,C,0,1,Small,NA,1,NA,NA,NA
7a,Cyclotella sp.,Cyclotella,FALSE,,Cyclotella,,7a-SmallCent,C,0,1,Small,NA,1,NA,NA,NA
7b,Rhoicosphenia curv.,Rhoicosphenia curv.,TRUE,,Rhoicosphenia,curv.,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Cymbella sp.,Cymbella,FALSE,,Cymbella,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Achnanthes sp.,Achnanthes,FALSE,,Achnanthes,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Gomphonema affine,Gomphonema affine,TRUE,,Gomphonema,affine,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Navicula viridula,Navicula viridula,TRUE,,Navicula,viridula,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Navicula sp.,Navicula,FALSE,,Navicula,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Neidium sp.,Neidium,FALSE,,Neidium,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
